,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2021-11-02T17:23:29,2440.83,7070.2524,-658.54047,3778.1917,2261.6877,701.2653,-1431.3184,3411.748,-584.93,-3531.972,-389.08868,7643.1763,1832.6838,1277.1371,-1801.9484,-5018.1865,5050.238,-2072.0747,1201.2637,-2730.4587,6068.24,1688.868,1683.2516,-3662.565,-7490.331,1572.0088,-1178.1344,-10039.389,3153.3691,-919.5064,-679.48224,-2345.421
2021-11-03T08:40:59,459.73087,84.449554,665.6519,-130.47665,-1552.3286,123.17122,388.5278,368.60986,-180.31595,-218.91826,-1248.3412,-502.38773,-761.4397,-963.62396,256.53348,-191.4797,424.58725,1711.8138,-22.034927,-1.7699211,-67.70885,411.7021,553.39655,-193.22748,215.23618,56.704243,116.14371,305.40018,-98.72659,252.43877,-87.540436,-1127.4907
2021-11-03T14:17:59,2119.5007,4018.8386,1403.1512,830.32465,1267.3698,-67.937386,1649.4696,2956.0159,-691.7685,-1379.9156,-927.5518,5996.6807,1889.2327,1326.4124,-1289.5813,2685.1934,2612.2876,-992.5574,498.452,-4112.9487,4245.4062,1258.5364,-21.330143,-392.6451,-5071.3,1061.8623,630.78577,-11986.112,1515.5787,-1988.0726,-569.4268,-3945.4155
2021-11-02T03:09:59,1584.8962,497.6103,289.5996,758.4058,-333.71985,1536.8187,394.36243,-203.58789,282.04547,237.43733,-13.740465,127.99067,-544.0002,-826.2272,1426.6544,20.539684,326.72205,914.51843,-855.4536,748.85156,35.77371,-37.32339,-546.9328,-0.08688235,-16.172857,-134.48915,662.52295,733.29584,244.001,361.36053,238.57095,19.04231
2021-11-02T20:08:14,-22.936821,-204.49036,-1221.9315,1751.1824,-668.0623,1272.6844,-1565.4716,5396.046,-449.69885,-1098.0702,2549.846,-737.5964,-1309.8295,-626.6649,302.32422,-4236.8955,654.21484,2308.324,-1292.0764,2352.3525,649.4602,-1525.7739,1163.4836,-4577.7554,197.53088,-782.9526,-649.4062,-6991.2974,-1011.3787,-339.8006,-686.5884,278.6601
2021-11-02T02:37:59,864.789,704.6092,627.9509,949.96405,-918.855,695.6302,551.56744,-453.3366,-165.90866,-674.8877,-850.0726,357.09088,-643.68256,-363.20673,513.4349,320.94327,910.6957,1538.0345,-258.55182,-20.652369,159.14563,877.06244,31.713188,133.12784,-564.4006,146.88895,597.3755,814.0709,737.90985,-207.09409,-369.58878,-716.93353
2021-11-02T10:47:44,1069.0393,795.2939,83.08671,36.246773,-409.69537,1587.6317,428.50293,-707.0596,620.7627,2250.9568,587.0334,-564.883,-546.6773,-301.3468,691.6376,-912.61084,587.6823,1558.7933,-674.65265,2042.3577,211.4511,399.22345,-622.00006,-687.41,165.0874,-267.57684,753.4273,869.94135,372.5971,-854.41534,-597.1961,-49.882202
2021-11-02T14:30:59,595.805,262.6677,514.1685,-160.5659,-717.04193,385.05176,-6.989294,-139.44981,174.79623,283.80627,-354.35153,-38.493618,-649.3513,-312.18735,428.83585,-144.66971,-233.76567,254.89064,88.230225,359.99744,118.349976,-333.9226,-30.550594,116.045815,24.990852,61.925026,224.48854,661.9822,-437.06198,670.97894,465.30698,-741.4481
2021-11-03T17:43:14,-1253.7637,-1494.8108,-555.60785,1785.5393,-701.6672,1311.6267,-251.31252,3491.8723,673.7764,-4731.2397,802.33185,-2327.943,-773.2538,-873.21625,1694.6464,-3154.6782,171.95004,1576.7521,-2643.519,-1008.07837,-1832.365,-2996.0562,1658.8105,-1920.4839,874.9521,361.5192,-1183.4878,-2333.8496,-2481.844,300.4332,132.9215,-5888.2573
2021-11-03T13:00:44,1708.6569,598.07306,511.08035,-1396.2134,-566.1786,-300.6404,807.68634,1048.6666,-282.5399,340.67645,-952.43024,435.10638,-499.5999,-110.08181,1128.5876,-212.00014,214.0573,772.9025,-848.5059,-505.32312,815.1973,947.88135,-721.0711,621.1292,-22.757309,-894.6196,-48.155884,-905.9741,435.82336,1189.0327,791.63477,-349.69275
